Comment,Designator,Footprint,LCSC
Conn_02x03_Odd_Even,J402,2x03_P1.27mm_conn,
WS2812B,D1030,LED_WS2812B_edited,
WS2812B,D1036,LED_WS2812B_edited,
WS2812B,D1032,LED_WS2812B_edited,
WS2812B,D1029,LED_WS2812B_edited,
WS2812B,D1001,LED_WS2812B_edited,
100n,C1006,C_0603_1608Metric,
10k,R303,R_0603_1608Metric,
1u,C504,C_0603_1608Metric,
1k,R201,R_0603_1608Metric,
2k2,R401,R_0603_1608Metric,
470R,R1006,R_0603_1608Metric,
5k1,R202,R_0603_1608Metric,
Buzzer,LS501,KLJ-1102,
ATmega328P-A,U501,TQFP-32_7x7mm_P0.8mm,
13k3,R602,R_0603_1608Metric,
470R,R1002,R_0603_1608Metric,
1k,R204,R_0603_1608Metric,
22u / 16V,C602,C_1210_3225Metric,
10k,R501,R_0603_1608Metric,
100n,C501,C_0603_1608Metric,
470R,R1004,R_0603_1608Metric,
10u,C203,CP_EIA-3528-21_Kemet-B,
100n,C1007,C_0603_1608Metric,
SS12,D601,D_SMA,
100n,C401,C_0603_1608Metric,
4R7,L601,Inductor_4mm(5x5mm pads),
10k,R301,R_0603_1608Metric,
470R,R1001,R_0603_1608Metric,
10u,C303,C_0805_2012Metric,
100n,C1009,C_0603_1608Metric,
100n,C1005,C_0603_1608Metric,
USB_C_Receptacle_USB2.0,J201,USB_C_Receptacle_HRO_TYPE-C-31-M-12,
100n,C201,C_0603_1608Metric,
100 @ 100MHz,FB201,R_0603_1608Metric,
100n,C1008,C_0603_1608Metric,
10k,R307,R_0603_1608Metric,
MT3608,U601,SOT-23-6,
10u,C301,CP_EIA-3528-21_Kemet-B,
CH340C,U202,SOIC-16_3.9x9.9mm_P1.27mm,
USBLC6-2SC6,U201,SOT-23-6,
SW_Push,SW501,SW_SPST_TL3342,
100k,R601,R_0603_1608Metric,
100n,C204,C_0603_1608Metric,
Battery_Cell,BT301,battery_103565_3000mah,
10k,R310,R_0603_1608Metric,
100k,R305,R_0603_1608Metric,
2k,R302,R_0603_1608Metric,
22u / 16V,C601,C_1210_3225Metric,
10k,R308,R_0603_1608Metric,
100n,C1001,C_0603_1608Metric,
100n,C1003,C_0603_1608Metric,
100n,C202,C_0603_1608Metric,
PCF8575,U401,SOIC-24W_7.5x15.4mm_P1.27mm,
16MHz,Y501,CSTCE16M0V53-R0,
MCP73871-2CC,U301,QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,
10u,C302,C_0805_2012Metric,
2k2,R402,R_0603_1608Metric,
USBasp,J501,PinHeader_2x03_P1.27mm_Vertical_SMD,
470R,R1003,R_0603_1608Metric,
100n,C1002,C_0603_1608Metric,
100n,C1004,C_0603_1608Metric,
470R,R1005,R_0603_1608Metric,
10u,C304,C_0805_2012Metric,
5k1,R203,R_0603_1608Metric,
