Ref,Val,Package,PosX,PosY,Rot,Side
"POS76","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",17.553033,10.790187,-90.000000,top
"POS77","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",9.900000,18.390187,-90.000000,top
"POS78","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",8.500000,29.157864,-90.000000,top
"POS79","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",13.200000,41.157864,180.000000,top
"POS80","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",21.700000,52.157864,180.000000,top
"POS81","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",33.100000,61.957864,180.000000,top
"POS82","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",44.900000,69.157864,180.000000,top
"POS83","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",56.000000,75.057864,-90.000000,top
"POS84","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",44.900000,81.257864,0.000000,top
"R1","470R","R_0603_1608Metric",53.000000,93.957864,180.000000,top
"R2","470R","R_0603_1608Metric",43.300000,90.257864,180.000000,top
"R3","470R","R_0603_1608Metric",62.500000,85.757864,-90.000000,top
"R4","470R","R_0603_1608Metric",52.400000,86.257864,180.000000,top
